"","stimNum","stimType","type","mean_entitlement","sd_entitlement","mean_imposition","sd_imposition","mean_power","sd_power","mean_distance","sd_distance"
"1",1,"high_entitlement","interaction",5.25,1.85081925505805,3.6875,1.65228726058436,4.33333333333333,1.31008093518591,4.70833333333333,1.09074117555758
"2",1,"low_entitlement","interaction",4.03846153846154,1.78184238714016,5.28846153846154,1.25770626050258,5.01923076923077,1.24444466889318,4.76923076923077,1.24641265025711
"3",2,"high_entitlement","interaction",5.62264150943396,1.9137801406393,4.83018867924528,1.55335677531205,4.79245283018868,1.63328939644507,5.20754716981132,1.24589310823814
"4",2,"low_entitlement","interaction",3.0625,2.0254366484838,5.9375,1.06003311871184,5.60416666666667,1.42529703262361,4.70833333333333,1.27092416254879
"5",3,"high_entitlement","relationship",5.27083333333333,1.62086899904241,3.97916666666667,1.85069950356136,3.78723404255319,2.25481292208434,4.08333333333333,1.35007223342345
"6",3,"low_entitlement","relationship",4.82692307692308,1.67707908831892,4.0377358490566,1.66366444646176,6.09433962264151,1.34827740445407,3.11320754716981,1.66017118392711
"7",4,"high_entitlement","relationship",5.84615384615385,1.55152822049891,3.80769230769231,1.78268866711527,4.72549019607843,1.47076077419204,6.44230769230769,1.16170026741506
"8",4,"low_entitlement","relationship",3.375,1.89764691915731,5.46666666666667,1.23582876130665,5.14583333333333,1.51572724393744,3.89583333333333,1.37205519604457
"9",5,"high_entitlement","institution",5.66666666666667,2.10706343332533,3.08510638297872,2.27299636788901,5.20833333333333,1.68798423575039,2.52083333333333,1.9892218443651
"10",5,"low_entitlement","institution",4.69811320754717,1.86655694611534,4.18867924528302,2.08526519041791,5.33962264150943,1.80749929488671,2.45283018867925,2.0807361653608
"11",6,"high_entitlement","institution",5.66037735849057,1.81810759843237,3.30188679245283,1.90732298967364,5.81132075471698,1.55732269979338,2.54716981132075,1.88685776374627
"12",6,"low_entitlement","institution",5.39583333333333,2.02893519220906,2.625,1.99600665158999,4.29787234042553,1.42820796222005,2.5625,1.82075796702035
"13",7,"high_entitlement","urgency",3.79166666666667,2.09313298042883,5.57446808510638,1.28104374651338,5.375,1.60617160790575,5.64583333333333,0.978265580555347
"14",7,"low_entitlement","urgency",4.26923076923077,1.56073618395212,5.05769230769231,1.28967941811455,5.44230769230769,1.19498070438867,5.46153846153846,1.1625114540703
"15",8,"high_entitlement","urgency",5.53846153846154,1.68571319009967,4.13461538461539,1.74927263487749,5.32692307692308,1.35358860501035,5.48076923076923,1.16299789447965
"16",8,"low_entitlement","urgency",3.75,1.99467375885264,4.35416666666667,1.22889992898567,5.125,1.51060083861258,5.14583333333333,1.45849796436496
"17",9,"high_entitlement","urgency",4.97916666666667,2.12872535363435,2.97916666666667,1.66936837760329,5.125,1.69636658021434,5.66666666666667,1.03827461896994
"18",9,"low_entitlement","urgency",4.26415094339623,2.00145085256658,3.30188679245283,1.87683147127092,4.39622641509434,1.34935344405427,5.58490566037736,1.00831089268811
"19",10,"high_entitlement","institution",5.92452830188679,1.80649529586747,3.32075471698113,2.14631692499626,5.33962264150943,1.30005023906497,2.45283018867925,2.16231746882695
"20",10,"low_entitlement","institution",5.79166666666667,1.76199033172092,2.66666666666667,1.76651277263611,4.46808510638298,1.71756986858439,2.14583333333333,2.03155514620124
